Word,Tone,Alt word,Context ,Definition,Reason
Ableism,Neutral,,Ableism,Discrimination in favour of people without a disability.,
Ableist ,Neutral,,Ableism,"Adjective: characterized by or showing prejudice, stereotyping, or discrimination of people with a disability/disabilities. Noun: a person with ableist veiws.",
Actress,Negative,"""Actor""",Sex,"A woman whose profession is acting on stage, in films, or on television.",This word presumes gender and is unnecessarily gender specific.
Aged,Negative,"""Older""  ""Older""  ""Older adult""",Age,Having lived or existed for a long time; very old.,"Anti"" and falsely present older people as frail, immobile, and burdensome."
Ageism,Neutral,,Age,Prejudice or discrimination on the grounds of a person's age.,
Ageist,Neutral,,Age,Adjective: characterized by or showing prejudice or discrimination on the grounds of a person's age. Noun: a person with ageist views.,
American Indian,Negative," ""Native""  ""whenever possible Native people prefer to be called by their specific tribal name""","Race,Culture","A member of any of the indigenous peoples of North, Central, and South America, especially those indigenous to what is now the continental US.","This language dates back to Christopher Columbus and naming a people on a Anglo"" when their people were massacred. "
Amok,Negative,"""Disrupting""  ""Behaving""  ""Behaving disruptively""","Culture,Mental Health",Behave uncontrollably and disruptively.,"“Amok, or running amok, is derived from the Malay word mengamok, which means to make a furious and desperate charge. According to Malay mythology, running amok was an involuntary behavior caused by the “hantu belian,” or evil tiger spirit entering a person's body and compelling him or her to behave violently without conscious awareness.” Since Captain Cook first observed this word in 1770, the word has had new psychiatric meanings applied: “Today, amok should be viewed as one possible outcome of an individual's undiagnosed and/or untreated psychiatric condition with psychosis or severe personality pathology.” Therefore, the word could be seen as both cultural appropriation and trivialising mental illness."
Anal assassin ,Negative,Derogatory Term,LGBTQ+,A derogatory term primarily against gay men.,The term is derogatory and offensive.
Anal astronaut,Negative,Derogatory Term,LGBTQ+,A derogatory term primarily against gay men.,The term is derogatory and offensive.
Argie,Negative,Derogatory Term,"Race,Culture",A term used to refer to an Argentine. Extensively used by the British soldiers during the Falklands War in 1982.,The term is an ethnic slur and very derogatory.
Arse bandit ,Negative,Derogatory Term,LGBTQ+,A derogatory term primarily against gay men.,The term is derogatory and offensive.
Ass bandit,Negative,Derogatory Term,LGBTQ+,A derogatory term primarily against gay men.,The term is derogatory and offensive.
BAME,Negative,"""Use a specific race""",Race,"Stands for black, Asian and minority ethnic and black and minority ethnic.","Minority has hurtful connotations – lesser and inferior to name a couple. These terms are also often used to ‘club together’ people of all ethnicities and races that aren’t white.
This generally isn’t helpful and can compromise people’s sense of identity, as well as causing all kinds
of bias and stereotypes."
Be a man,Negative,"""Be authorative""",Sex,"An imperative to act like a man or as a man should, stereotypically meaning to be strong, unemotional, strong"" authoritative, or stoical, or to take responsibility for one's actions, words, or beliefs.","Phrases like this communicate the idea that strength and weakness are essential parts of someone’s sex or gender. These statement imply that men cannot feel hurt or express emotion, preventing them from reaching out if they need help."
Bean flicker,Negative,Derogatory Term,LGBTQ+,"A derogatory term for lesbians, likening the clitoris to a bean.",The term is derogatory and offensive.
Become a master,Negative,"""Become proficient""","Race,Sex",To have become proficient or expert in something.,"Not to mention its slave/master connotations, master is a very masculine word so it’s not very inclusive."
Bender,Negative,Derogatory Term,LGBTQ+,Derogatory term towards a homosexual person.,The term is derogatory and very offensive.
Bent ,Negative,Derogatory Term,LGBTQ+,Derogatory term towards a homosexual person.,The term is derogatory and very offensive.
Bentshot ,Negative,Derogatory Term,LGBTQ+,Derogatory term towards a homosexual person.,The term is derogatory and very offensive.
Bible basher ,Negative,Derogatory Term,Religion,"A dysphemism for people who believe in the fundamentalist authority of the Bible, particularly those from a Pentecostal or fundamentalist denomination. It is also a slang term for an evangelising Christian. Commonly used universally against Christians who are perceived to go out of their way to energetically preach their faith to others.",The term is derogatory and very offensive.
Bible beater,Negative,Derogatory Term,Religion,"A dysphemism for people who believe in the fundamentalist authority of the Bible, particularly those from a Pentecostal or fundamentalist denomination. It is also a slang term for an evangelising Christian. Commonly used universally against Christians who are perceived to go out of their way to energetically preach their faith to others.",The term is derogatory and very offensive.
Biphobia,Neutral,,LGBTQ+,Dislike of or prejudice against bisexual people.,
Biphobic,Neutral,,LGBTQ+,Having or showing a dislike of or prejudice against bisexual people.,
Black Book,Negative,,Race,"A book containing a list of secret contacts, or of the names of people liable to be punished.",Terms like “blacklist” and “black book” originated in America during the start of slavery in the 1610s. Using the colour black to denote something bad is part of languages around the world and implies negative connotations to the colour black and black people.
Black economy ,Negative,"""Underground economy""",Race,"The black economy refers to people who operate entirely outside the tax and regulatory system or who are known to the authorities but do not correctly report their tax obligations
.","Using the adjective ‘black’ to denote unlawful or criminal activity reinforces untrue stereotypes
about Black people."
Black list,Negative,"""Denylist""  ""Blocklist""",Race,A list of people or things that are regarded as unacceptable or untrustworthy and should be excluded or avoided. ,Terms like “blacklist” and “black book” originated in America during the start of slavery in the 1610s. Using the colour black to denote something bad is part of languages around the world and implies negative connotations to the colour black and black people.
Black Market,Negative,"""Contraband""  ""Illicit""  ""Pirated""  ""Unlawful""  ""Unofficial""  ""Unsanctioned""  ""Unauthorised""",Race,An illegal traffic or trade in officially controlled or scarce commodities.,"Using the adjective ‘black’ to denote unlawful or criminal activity reinforces untrue stereotypes
about Black people."
Black sheep,Negative,"""Outcast""  ""Scapegrace""",Race,A member of a family or group who is regarded as a disgrace to it.,Terms like “blacklist” and “black book” originated in America during the start of slavery in the 1610s. Using the colour black to denote something bad is part of languages around the world and implies negative connotations to the colour black and black people.
Blacklist,Negative,"""Denylist""  ""Blocklist""",Race,A list of people or things that are regarded as unacceptable or untrustworthy and should be excluded or avoided. ,Terms like “blacklist” and “black book” originated in America during the start of slavery in the 1610s. Using the colour black to denote something bad is part of languages around the world and implies negative connotations to the colour black and black people.
Blackmail,Negative,"""Extortion""",Race,"Noun = the action, treated as a criminal offence, of demanding payment or another benefit from someone in return for not revealing compromising or damaging information about them. Verb =demand money or another benefit from (someone) in return for not revealing compromising or damaging information about them.","We may hardly ever use this term in our comms but again it associates ‘black’ with an unlawful activity.
It’s also not very easy to understand for people whose first language isn’t English."
BME,Negative,"""Use a specific race""",Race,"Stands for black, Asian and minority ethnic and black and minority ethnic.","Minority has hurtful connotations – lesser and inferior to name a couple. These terms are also often used to ‘club together’ people of all ethnicities and races that aren’t white.
This generally isn’t helpful and can compromise people’s sense of identity, as well as causing all kinds
of bias and stereotypes."
Boer hater,Negative,,"Race,Culture","Refers to a person who hates, prejudices, or criticizes the Boers, or Afrikaners  – historically applied to British people who held anti Boers sentiments.",The term is an ethnic slur.
Boer hater,Negative,,"Race,Culture","Refers to a person who hates, prejudices, or criticizes the Boers, or Afrikaners  – historically applied to British people who held anti Boers sentiments.",The term is an ethnic slur.
Boerehater ,Negative,,"Race,Culture","Refers to a person who hates, prejudices, or criticizes the Boers, or Afrikaners  – historically applied to British people who held anti Boers sentiments.",The term is an ethnic slur.
Bog ,Negative,Derogatory Term,Culture,"A person of common or low class Irish ancestry. A very derogatory
 word for an Irishman.",The term is an ethnic slur and derogatory.
Bog trotter,Negative,Derogatory Term,Culture,"A person of common or low class Irish ancestry. A very derogatory
 word for an Irishman.",The term is an ethnic slur and derogatory.
Bogeyman,Negative,,Sex,"An imaginary evil spirit or being, used to frighten children. A person or thing that is widely regarded as an object of fear.",There is no need to assign gender to this figure.
Bogtrotter ,Negative,Derogatory Term,Culture,"A person of common or low class Irish ancestry. A very derogatory
 word for an Irishman.",The term is an ethnic slur and derogatory.
Bonkers ,Negative,"""Someone""  ""Ridiculous""  ""Wild""",Mental Health,Slang for someone who has mental health problems.,"There is a strong association between the word “bonkers’ and mental illness. So, even when you use the term in a seemingly harmless way, it’s still rooted in ableism and can therfore be harmful to those with mental health problmes."
Boogeyman,Negative,,Sex,"An imaginary evil spirit or being, used to frighten children. A person or thing that is widely regarded as an object of fear.",There is no need to assign gender to this figure.
Boomer,Context,,Age,"A person born in the years following the Second World War, when there was a temporary marked increase in the birth rate.",Boomer has become a catchall phrase for someone older who is close minded and resistant to change and so is offensive to some.
Bounty,Context,,Race,"A racially Black person who is considered to be behaving like a white person (i.e. dark on the outside, white on the inside).",Depending on the context the term can be inappropriate and very offensive.
Bounty Bar ,Context,,Race,"A racially Black person who is considered to be behaving like a white person (i.e. dark on the outside, white on the inside).",Depending on the context the term can be inappropriate and very offensive.
Businessman,Negative,"""Businessperson""",Sex,"A man who works in commerce, especially at executive level.","Using ‘man’ in words makes them gender specific, thus excluding all non males."
Businessmen,Negative,"""Businesspeople""",Sex,"Men who works in commerce, especially at executive level.","Using ‘man’ or ‘men’ in words makes them gender specific, thus excluding all non males."
Carpet muncher,Negative,Derogatory Term,LGBTQ+,A derogatory term for lesbians.,The term is derogatory and offensive.
Chairman,Negative,"""Chair""  ""Chairperson""  ""Coordinator""  ""Head""",Sex,A person chosen to preside over a meeting.,"Using ‘man’ in words makes them gender specific, thus excluding all non males."
Chav,Negative,,Class,A stereotype. A young person in Britain of a type stereotypically known for engaging in aggressively loutish behavior especially when in groups and for wearing flashy jewelry and athletic casual clothing (such as tracksuits and baseball caps).,The term chav is an acronym for “council houses and violence”. Therefore the word sets out to demonise the working class by labelling a type of individual based on identifiers which they have no control over.
"Chavvy
",Negative,,Class,A stereotype. A young person in Britain of a type stereotypically known for engaging in aggressively loutish behavior especially when in groups and for wearing flashy jewelry and athletic casual clothing (such as tracksuits and baseball caps).,The term chav is an acronym for “council houses and violence”. Therefore the word sets out to demonise the working class by labelling a type of individual based on identifiers which they have no control over.
Chi chi man,Negative,Derogatory Term,LGBTQ+,"""chi chi"" is patois for termite (pest) and is a derogatory term for a homo sexual. i.e. a gay person is as low as a termite",The term is derogatory and very offensive.
Ching Chong,Negative,,Race,Mocking the language of a person of perceived Chinese descent.,The term is inappropriate and very offensive.
